										pc		
		clks	nops|instructions	alu delay	Comment	TODO			File	regs.asm		
							Rel delay	abs delay	Point	1st s_i64_add $t2=$one,$one		1st s_i64_add $t3=$one,$t2
	fetch	2										
												
	read GPR|SPR	4			That is why reg delay is 4	Isn’t 3?						
	read GPR addr	1.5										
	read GPR data	1.5										
												
	default i_alu	0			In the same clk with write reg							
												
	write GPR	1.5										
	write SPR	1										
												
	write GPR -> read GPR	3			"1.5clk write GPR
+1.5clk read before write GPR data
read GPR addr is in pipe"							
	write SPR -> read SPR	2			"1clk write SPR
+1.5clk??? read SPR data
read SPR addr is in pipe"	"Need test where we have write to p and read from p.
Seems to have 3 instead 2 clk.
Probably bcs RE in spr_rd_mux and maybe RE in spr."						
	write SPR -> side-effect SPR	1			1clk write SPR							
												
												
	s_i	3	2	0	Between two start of instr decode and exec							
	s_ld	5	4	2	"Usual read GPR|SPR
+ 2clk data BRAM read"							
	v_ld	8	7	5	"Usual read GPR|SPR
+ 5clk data URAM read"	Optimize						
	s_st					Check in Sim						
	s_i_cmp	1	0	0	bcs write to p which is SPR							
	jmp		5	0	1clk write SPR + 2clk fetch	Why 5? What is red exactly? Sim						
												
	s_f64_add	17	16	14	"14clk f_alu i.e. s_add_sub delay.
Msred between RE valid and res_add_sub_valid.
Same as latency set in fp_add_sub.ip.tcl"	Set it in cfg						
	s_f64_sub	17	16	14								
	s_f64_mul	15	14	12								
	s_f64_sincos_lim	68	67	65		Calculate it. Check in Sim						
	s_f64_cmp over $p	5	4	2								
	s_f64_cmp over GPR		3			Sim this						
												
												
												
												
												
												
	start of instr						0	0		1		
	inst decode						2	2		3		16
	gpr read						3	5		6		19
	reg read						4			7		20
	fix delay						4					
	alu add						0	5		7		20
	gpr write data							5		7		
	gpr write addr							5		7		
	gpr write we							5		7		
	gpr write						2	7		9		
	R & W between gpr						3					
